Plot ID,Sp no,Plot ID_Sp no,total.leaf.area
KDM8,S2,KDM8_S2,166.551
KDM8,S3,KDM8_S3,38.522
KDM8,S4,KDM8_S4,91.249
KDM8,S4(2),KDM8_S4(2),96.785
KDM9,S1,KDM9_S1,311.409
KDM9,S1(3),KDM9_S1(3),78.6
KDM9,S1(4),KDM9_S1(4),92.99
KDM9,S1(5),KDM9_S1(5),62.117
KDM9,S1(6),KDM9_S1(6),185.767
KDM9,S2,KDM9_S2,32.023
KDM10,S1,KDM10_S1,176.697
KDM10,S1(2),KDM10_S1(2),214.583
KDM10,S1(3),KDM10_S1(3),203.521
KDM10,S1(4),KDM10_S1(4),249.879
KDM10,S2,KDM10_S2,70.469
KDM11,S5,KDM11_S5,21.337
KDM11,S1,KDM11_S1,245.353
KDM11,S1(2),KDM11_S1(2),283.059
KDM11,S1(4),KDM11_S1(4),259.004
KDM11,S1(5),KDM11_S1(5),162.208
KDM11,S1(6),KDM11_S1(6),54.224
KDM11,S2,KDM11_S2,25.007
KDM11,S2(3),KDM11_S2(3),242.704
KDM11,S3(2),KDM11_S3(2),76.382
KDM39,S1(1),KDM39_S1(1),55.244
KDM5,S1,KDM5_S1,317.361
KDM5,S3,KDM5_S3,208.244
KDM5,S4,KDM5_S4,78.58
KDM5,S4(1),KDM5_S4(1),31.004
KDM5,S5,KDM5_S5,46.978
KDM11,S3,KDM11_S3,298.819
KDM11,S3(2),KDM11_S3(2),59.864
KDM11,S4,KDM11_S4,90.881
KDM11,S4(2),KDM11_S4(2),58.446
KDM11,S5(1),KDM11_S5(1),147.678
KDM11,S5(2),KDM11_S5(2),58.752
KDM11,S5(3),KDM11_S5(3),208.816
KDM11,S5(4),KDM11_S5(4),159.461
KDM11,S5(5),KDM11_S5(5),26.585
KDM12,S1,KDM12_S1,107.178
KDM12,S1(2),KDM12_S1(2),154.74
KDM12,S2,KDM12_S2,21.75
KDM12,S3,KDM12_S3,40.96
KDM12,S4,KDM12_S4,19.356
KDM12,S5,KDM12_S5,129.491
KDM13,S1,KDM13_S1,331.704
KDM13,S2,KDM13_S2,380.727
KDM13,S2(2),KDM13_S2(2),102.892
KDM13,S2(3),KDM13_S2(3),82.318
KDM13,S3,KDM13_S3,59.68
KDM13,S4,KDM13_S4,16.066
